IP,DNS,Tracking Method,Last Scanned Date,Tags
64.89.45.26,rest.na1.netsuite.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite_external_bo2|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.97,suiteconnect.netsuite.com,IP,2021-01-19,bo1_external_all|bo1_lightcms_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.98,None,IP,2021-01-19,bo1_external_all|bo1_lightcms_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.99,None,IP,2021-01-19,bo1_external_all|bo1_lightcms_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.101,None,IP,2021-01-19,bo1_external_all|bo1_lightcms_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.20,testdrive.na1.netsuite.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite|pci_netsuite_external_bo2|nscore_pci_jquery_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
69.20.10.56,None,IP,2021-01-19,omx_ordermotion_external_all|all_external|OrderMotion|Security|BU:NetOps|SRE|pci_omx|Internet Facing Assets
64.89.44.110,None,IP,2020-12-09,bo1_external_all|bo1_lightcms_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|OS:Windows 10|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.15,checkout.na1.netsuite.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite_external_bo2|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.63,None,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite|pci_netsuite_external_bo2|nscore_pci_jquery_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|AI:New Asset|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.1,None,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:OpenAir|BU:NetOps|SRE|pci_netsuite|bo1_openair_external_all|pci_netsuite_2019|pci_netsuite_netops_external_all|pci_netsuite_2019_added|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.61,wild.na1.onlinecheckout.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite_external_bo2|nscore_pci_jquery_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
206.83.83.240,206-83-83-240.sd.netsuite.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.17,webservices.na1.netsuite.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite_external_bo2|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
206.83.83.228,206-83-83-228.sd.netsuite.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.220,rest.api.source.na1.netsuite.com.45.89.64.in-addr.arpa,IP,2020-09-24,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
207.97.215.2,hp1.members.ordermotion.com,IP,2020-11-04,omx_ordermotion_external_all|all_external|OrderMotion|Security|BU:NetOps|SRE|Internet Facing Assets
69.20.10.57,None,IP,2021-01-19,omx_ordermotion_external_all|all_external|OrderMotion|Security|BU:NetOps|SRE|pci_omx|Internet Facing Assets
64.89.45.101,None,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.62,wild.na1.securedcheckout.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite_external_bo2|nscore_pci_jquery_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.22,debugger.na1.netsuite.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite_external_bo2|nscore_pci_jquery_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.23,forms.na1.netsuite.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite_external_bo2|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.12,www.na1.netsuite.com,IP,2020-11-03,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.100,None,IP,2020-09-24,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.11,system.na1.netsuite.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite|pci_netsuite_external_bo2|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
