IP,DNS,Tracking Method,Tags
10.2.65.100,cas002.f.bos.netledger.com,IP,bo1_qa_saops_internal_all|all_internal|bo1_netops_internal_all|BU:NSCore|Security|BU:Payroll|BU:NetOps|SRE|Internal|DC:BO1|AI:Internal|DC:BO1-New
10.2.164.105,heapdump001-console.adm.bos.netledger.com,IP,bo1_qa_saops_internal_all|all_internal|bo1_netops_internal_all|BU:NSCore|Security|BU:Payroll|BU:NetOps|SRE|CVE-2017-12542  Vulnerable NSCore Assets|Internal|DC:BO1|AI:Internal|DC:BO1-New
64.89.45.26,rest.na1.netsuite.com,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|pci_netsuite_external_bo2|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.96,None,IP,bo1_external_all|bo1_lightcms_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|AI:New Asset|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.97,suiteconnect.netsuite.com,IP,bo1_external_all|bo1_lightcms_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.98,None,IP,bo1_external_all|bo1_lightcms_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.99,None,IP,bo1_external_all|bo1_lightcms_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.100,None,IP,bo1_external_all|bo1_lightcms_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.101,None,IP,bo1_external_all|bo1_lightcms_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.102,None,IP,bo1_external_all|bo1_lightcms_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.3,None,IP,bo1_external_all|all_external|BU:NSCore|BU:OpenAir|BU:NetOps|SRE|bo1_openair_external_all|pci_netsuite_2019|pci_netsuite_netops_external_all|pci_netsuite_2019_added|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.79,None,IP,bo1_external_all|all_external|BU:NSCore|BU:OpenAir|BU:NetOps|SRE|bo1_openair_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.81,None,IP,bo1_external_all|all_external|BU:NSCore|BU:OpenAir|BU:NetOps|SRE|bo1_openair_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.10,None,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.20,testdrive.na1.netsuite.com,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|pci_netsuite|pci_netsuite_external_bo2|nscore_pci_jquery_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
69.20.10.56,None,IP,omx_ordermotion_external_all|all_external|OrderMotion|Security|BU:NetOps|SRE|pci_omx|Internet Facing Assets
64.89.44.110,None,IP,bo1_external_all|bo1_lightcms_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|OS:Windows 10|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.15,checkout.na1.netsuite.com,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|pci_netsuite_external_bo2|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.63,None,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|pci_netsuite|pci_netsuite_external_bo2|nscore_pci_jquery_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.1,None,IP,bo1_external_all|all_external|BU:NSCore|BU:OpenAir|BU:NetOps|SRE|pci_netsuite|bo1_openair_external_all|pci_netsuite_2019|pci_netsuite_netops_external_all|pci_netsuite_2019_added|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.61,None,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|pci_netsuite_external_bo2|nscore_pci_jquery_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|AI:New Asset|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
206.83.83.240,206-83-83-240.sd.netsuite.com,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
